"","company","RD","OR","NI","TA","TE","Patent","Industry","Frequency"
"1","CTH.L",NA,156239.25,14831.5,390980.75,174290.25,39828.75,"High",0
"2","FCH.L",NA,79825,-42700,214750,198300,725,"High",0
"3","AOR.L",NA,727.5,-313.75,1875.75,1724,919,"High",0
"4","COG.L",NA,6195.5,-552.25,4011.25,1707.25,NA,"High",0
"5","AMS.L",NA,87836,18148.75,156437.25,138654.75,11827.5,"High",0
"6","AVO.L",NA,NA,-9506.4605,32068.85125,25266.59575,NA,"High",0
"7","COS.L",NA,2888.27975,-1595.19875,20827.34325,15955.2295,1961.36325,"High",0
"8","CPT.L",NA,NA,-2025.95466666667,2508.79733333333,2203.85866666667,NA,"High",0
"9","CSRT.L",NA,266706.25,14662,461915.5,216998.25,61981.75,"High",0
"10","CTEC.L",41650,1733850,20950,3691650,1042100,1513875,"High",0
"11","CREO.L",NA,NA,-6451.82275,18010.87625,16804.1675,NA,"High",0
"12","DEMG.L",539.25,5890.25,-2275.25,6451.5,2168,NA,"High",0
"13","EKF.L",2975,38190.25,-6079,78214.5,57610.5,23763.75,"High",0
"14","GHG.L",NA,564532.75,33349.5,1023745.25,474186.75,21775.25,"High",0
"15","IDH.L",2222,40412.25,-6395.5,73929.25,61402.5,NA,"High",0
"16","IHC.L",NA,14396,662.5,6977,3959,485,"High",0
"17","IDHC.L",NA,1405293.5,320346.75,3018646,2162135.25,394212.25,"High",0
"18","KMK.L",NA,9314,-2121.25,37189.25,30830.25,3292.5,"High",0
"19","LID.L",NA,7849,-1065.75,10111.75,8139.5,251.25,"High",0
"20","MDC.L",NA,2425750,38750,6177500,3165000,334000,"High",0
"21","NMC.L",NA,1440588.5,162381.75,2645574,947016,108645.5,"High",0
"22","ODX.L",NA,13162.21775,-1311.3445,23769.0215,19395.10475,3035.7825,"High",0
"23","PYC.L",NA,328.9925,-330.055,478.8955,387.0125,NA,"High",0
"24","RLM.L",4378.897,5091.439,-2024.97875,28427.9695,24735.14275,NA,"High",0
"25","SDI.L",NA,10168,764.5,12323.75,8461.25,2255,"High",0
"26","SN.L",230250,4743000,656000,7609000,4360500,1373500,"High",0
"27","SPI.L",NA,918500,35425,1707000,1024600,NA,"High",0
"28","SUN.L",541,7819.5,-26,12975,9442.25,NA,"High",0
"29","TLY.L",NA,14983.25,-638.1,29938.25,14106,8442.75,"High",0
"30","TSTL.L",NA,18732.75,2751.5,19596.25,15897.5,4171,"High",0
"31","VENN.L",NA,15241.75,-1365.75,12844.5,8429.25,2483.25,"High",0
"32","WDC.L",NA,61.18,-1128.84325,826.42375,-134.525,NA,"High",0
"33","DDDD.L",8029.75,NA,-9969,76876,71573,4097.25,"High",0
"34","ABC.L",14662,191501.5,44853.25,339002,283523.5,76180.75,"High",0
"35","AGY.L",11164.25,56055.75,-5744.5,53894.25,29448,1929,"High",0
"36","APH.L",NA,91422,19492.5,336437,199253,266819,"High",0
"37","AMYT.L",6075.25,NA,-15824.75,54447,12624.75,NA,"High",0
"38","AGL.L",2524.75,NA,-5652.5,11789.75,10757.5,712.5,"High",0
"39","ANCR.L",2600.25,67901,502.25,102519,52846,36508,"High",0
"40","ANP.L",NA,26295,3325.25,35184,29698.25,4007,"High",0
"41","AZN.L",5523250,23066250,2870000,61646750,15193000,24594750,"High",0
"42","AVCT.L",1978.25,2369,-7458.5,28490.25,26572.5,60.5,"High",0
"43","BMK.L",12133.75,111303.25,-10693.5,426114.75,296838,143241,"High",0
"44","BXP.L",NA,14886835.61,2170723.45175,34951869.46025,24423107.127,598447.09875,"High",0
"45","BVXP.L",-29.057,6461.977,4159.3825,9483.375,8986.771,NA,"High",0
"46","BTG.L",82525,501575,35675,1167125,875225,584925,"High",0
"47","C4XD.L",5372.5,1949.5,-4075.5,8246.25,7376.75,429,"High",0
"48","CTI.L",NA,109730.5,-12732.75,429450.25,102171.75,25374.25,"High",0
"49","CIR.L",22550,32125,-100850,383275,259975,188450,"High",0
"50","CLIN.L",NA,301950,12600,501400,259925,169275,"High",0
"51","DPH.L",17931.5,304360.5,23581.75,626188.75,318779.75,271489.75,"High",0
"52","DNL.L",6076.423,NA,-8332.75,20896.75,16483,5.5,"High",0
"53","EAH.L",NA,53689.5,7502.75,104244.25,87232.5,33697.75,"High",0
"54","EDEN.L",NA,1481.68225,-990.55975,8570.35025,7370.318,3127.8265,"High",0
"55","ERGO.L",1691.75,38382.25,-3000.5,46913.5,28635,11657.5,"High",0
"56","ETX.L",7392,NA,-7825.75,16697.25,15487.75,287.5,"High",0
"57","EVG.L",NA,NA,-2764,4189.5,3499.75,90,"High",0
"58","FARN.L",12189.25,1001.75,-14368.25,13364.25,6172.75,538.75,"High",0
"59","FUM.L",4606.77825,NA,-4639.85375,9859.3055,8832.06775,NA,"High",0
"60","GDR.L",NA,3534.25,-5335.75,11450.75,3575.5,NA,"High",0
"61","GNS.L",39950,429050,41175,742550,375300,78700,"High",0
"62","GSK.L",3708250,28204750,3622250,56743500,2632500,17553000,"High",0
"63","GUN.L",NA,NA,-346.75,2341.25,2141,NA,"High",0
"64","HIK.L",98750,1849000,-38500,3461250,1733000,585500,"High",0
"65","HZD.L",9658,34868.25,-16696.75,133327.75,118054,32061.5,"High",0
"66","HCM.L",NA,212398.75,-31213,425521.5,279588.75,454.25,"High",0
"67","HVO.L",6831.5,12367.5,-16376.5,53646.25,40100.75,2486.25,"High",0
"68","IMM.L",3912.88525,144.117,-4579.0485,5503.128,4129.0825,519.08875,"High",0
"69","INDV.L",101750,1042500,149000,1284250,-177750,80250,"High",0
"70","IXI.L",1276.5,3969.25,-1379.5,6192.25,4202.25,254.75,"High",0
"71","MXCT.L",7558.325,13052.95,-5894.3,19534.7,-2849.475,NA,"High",0
"72","MPH.L",22101.6805,NA,-28461.20675,72559.66775,52563.56425,29315.835,"High",0
