"","company","RD","OR","NI","TA","TE","Patent","Industry","Frequency"
"10","CTEC.L",41650,1733850,20950,3691650,1042100,1513875,"High",0
"13","EKF.L",2975,38190.25,-6079,78214.5,57610.5,23763.75,"High",0
"26","SN.L",230250,4743000,656000,7609000,4360500,1373500,"High",0
"34","ABC.L",14662,191501.5,44853.25,339002,283523.5,76180.75,"High",0
"35","AGY.L",11164.25,56055.75,-5744.5,53894.25,29448,1929,"High",0
"39","ANCR.L",2600.25,67901,502.25,102519,52846,36508,"High",0
"41","AZN.L",5523250,23066250,2870000,61646750,15193000,24594750,"High",0
"42","AVCT.L",1978.25,2369,-7458.5,28490.25,26572.5,60.5,"High",0
"43","BMK.L",12133.75,111303.25,-10693.5,426114.75,296838,143241,"High",0
"46","BTG.L",82525,501575,35675,1167125,875225,584925,"High",0
"47","C4XD.L",5372.5,1949.5,-4075.5,8246.25,7376.75,429,"High",0
"49","CIR.L",22550,32125,-100850,383275,259975,188450,"High",0
"51","DPH.L",17931.5,304360.5,23581.75,626188.75,318779.75,271489.75,"High",0
"55","ERGO.L",1691.75,38382.25,-3000.5,46913.5,28635,11657.5,"High",0
"58","FARN.L",12189.25,1001.75,-14368.25,13364.25,6172.75,538.75,"High",0
"61","GNS.L",39950,429050,41175,742550,375300,78700,"High",0
"62","GSK.L",3708250,28204750,3622250,56743500,2632500,17553000,"High",0
"64","HIK.L",98750,1849000,-38500,3461250,1733000,585500,"High",0
"65","HZD.L",9658,34868.25,-16696.75,133327.75,118054,32061.5,"High",0
"67","HVO.L",6831.5,12367.5,-16376.5,53646.25,40100.75,2486.25,"High",0
"68","IMM.L",3912.88525,144.117,-4579.0485,5503.128,4129.0825,519.08875,"High",0
"69","INDV.L",101750,1042500,149000,1284250,-177750,80250,"High",0
"70","IXI.L",1276.5,3969.25,-1379.5,6192.25,4202.25,254.75,"High",0
"73","MTPH.L",9012.5,4458.5,-15338.75,47599.5,36052.75,17463.25,"High",0
"78","OXB.L",23974.5,37013.25,-7784,71648.75,16099,821.75,"High",0
"90","SUMM.L",18798.75,8195.25,-15005.75,34000.5,8856,6302.75,"High",0
"95","VEC.L",54674.99625,137291.65625,-52924.99725,617900,496800,276075,"High",0
"99","ACSO.L",7798.25,111964,6521,180563.25,124522.75,34094.5,"High",0
"100","ACT.L",1660.1765,714.5225,-5626.368,15494.6945,14784.2005,931.97875,"High",0
"104","AVV.L",93884,533482.5,49940.25,1069651.5,686094.25,361025.75,"High",0
"110","BRY.L",4064,24707.5,-3476.25,43854.25,26956.25,11998.25,"High",0
"115","CLSU.L",1252.75,15063.5,-2049.75,10787,9192,2615,"High",0
"120","CRW.L",9233.75,54881.5,12321.25,92021,52859.75,7710.25,"High",0
"123","DFX.L",376.5775,4221.78125,-2420.07175,8503.7025,5412.66275,4018.451,"High",0
"135","FDP.L",-434.5,134497,10741.5,231795.5,120354.5,47100.25,"High",0
"142","IND.L",3539.5,45270,-1544.5,29325.5,19139.75,199.5,"High",0
"146","IBM.L",5485500,80097500,9885750,119175750,16724500,3751000,"High",0
"150","MCRO.L",279642.97025,2111695.56275,392433.232,10770588.5,4787536,3960302.25,"High",0
"156","OMG.L",3272.75,28217.75,3715.75,39546.75,28287.25,2633.5,"High",0
"164","RM.L",7241.25,188170.75,14096.5,122357.5,27952.5,10029,"High",0
"167","SND.L",9153.25,23528.75,2546.75,48147.25,28466,6241.5,"High",0
"169","SDL.L",21975,278900,-975,304550,193750,18150,"High",0
"172","SPE.L",4371.5,26636.25,4434.5,31061.5,15020.5,4746.75,"High",0
"173","SOPH.L",111250,523825,-61225,1156825,-10350,45200,"High",0
"174","STAR.L",191.25,5424.25,-1510.25,6458.75,3283.5,2487,"High",0
"185","USY.L",44625,2850650,-36850,2287900,-1429725,143975,"High",0
"188","ZOO.L",311.5,17035.5,-1702.5,13208.5,2377.5,3211.25,"High",0
"189","AMO.L",5975,75477,6625.25,85130.5,59371.25,10565.25,"High",0
"190","BVC.L",7295,103549.5,-3432.25,126504.5,85745.5,5544.25,"High",0
"192","CNC.L",972.22525,16586.1725,2827.03875,22047.74375,18051.1745,24.8025,"High",0
"195","FST.L",6982.75,36664,-9229.5,35955.5,21888.25,8123,"High",0
"197","MWE.L",1078,28244.75,1611,27825.5,19384.25,266.5,"High",0
"198","NANO.L",5260.75,1786,-8674.25,21434.25,17736.25,2573.75,"High",0
"201","SEE.L",13122.2945,22829.00525,-19680.923,50766.52375,42570.6365,1102.098,"High",0
"202","SPT.L",107475,466675,13950,532975,365700,14475,"High",0
"204","TCM.L",48056.75,376442.75,-14751,303346.75,110107.75,34737.5,"High",0
"210","AXS.L",1553,54071.5,-6101.75,84062.75,42538,1829,"Low",0
"231","LWB.L",5225,410125,-11625,448675,164075,20200,"Low",0
"237","NXR.L",3550,257325,9900,247050,65375,18475,"Low",0
"243","TON.L",496.75,25984,1721.25,20249.25,13643,348.5,"Low",0
"246","FAN.L",2360.75,168844.5,13660.5,272328,155334.25,100676.5,"Low",0
"320","FDEV.L",8722.5,28921,3596,39398.25,32558.5,19714.75,"High",0
"328","BC94.L",15631692000,221466754500,31586432250,286365794750,201645876000,5547049000,"High",0
"332","BOE.L",3292500,96185500,7282000,103531500,2286750,2799750,"High",0
"333","CHG.L",47725,364725,-22125,667400,349850,61475,"High",0
"338","MGGT.L",70500,1928650,206275,4854150,2359700,725025,"High",0
"340","RR.L",838000,14789000,-742000,26911500,1683000,1716000,"High",0
"346","MSYS.L",1000.062,638.69125,-3008.4485,5858.679,5283.4395,87.14925,"High",0
"349","OXIG.L",25275,324225,11475,422425,145150,84000,"High",0
"358","GHH.L",7189.25,100413,7654.75,141466.5,93630.5,9533.5,"High",0
"370","XAR.L",11797,88331.5,6496.5,157308.5,136965.5,293,"High",0
"501","RDSB.L",1003750,298027250,10710750,389430750,185631000,8910250,"Low",0
"592","SVT.L",3100,1721775,261400,8838100,922500,76650,"Low",0
"601","BYOT.L",257.814,3041.662,-413.24875,3594.23575,2637.9075,342.82975,"High",0
"607","HAYD.L",714.75,2267.5,-4126.5,11583.5,8096,582.5,"High",0
"609","PHC.L",4451.75,7412.5,-8020.75,15732.75,13113,426.75,"High",0
"610","SCPA.L",3300,263450,14175,208225,89700,6650,"High",0
"613","VRS.L",320,6083.75,-1522,9992,6949.75,660.75,"High",0
"614","VCT.L",14925,283000,94025,500275,429000,12525,"High",0
"622","GHH.L",7189.25,100413,7654.75,141466.5,93630.5,9533.5,"High",0
"630","MSYS.L",1000.062,638.69125,-3008.4485,5858.679,5283.4395,87.14925,"High",0
"633","OXIG.L",25275,324225,11475,422425,145150,84000,"High",0
